erId	pkrgId	name	romDesc	shortDesc	wiredAttrs
795	5496	Embody Aspect	Raises the Pokemon's Speed stat by one stage when switching into battle.	+1 Attack on Entry.	EntryEffectAbAttr
795	5496	Embody Aspect	Raises the Pokemon's Speed stat by one stage when switching into battle.	+1 Defense on Entry.	EntryEffectAbAttr
795	5496	Embody Aspect	Raises the Pokemon's Speed stat by one stage when switching into battle.	+1 Spdef on Entry.	EntryEffectAbAttr
799	5500	We Will Rock You	Boosts the power of Rock-type moves by 30%, or by 80% at 1/3 HP or lower.	Boosts Rock-type moves by 1.3x, or 1.8x when below 1/3 HP.	TypeDamageBoostAbAttr
800	5501	Deviate	Changes the user's Normal-type moves to Dark-type. If the user is Dark-type its Dark-type moves have a 10% enrage chance, otherwise it gains Dark STAB.	Normal moves become Dark. Dark moves are empowered.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
801	5502	Sun's Bounty	During sun, cures all status conditions at at the end of the turn; and 50% chance to restore berry on turn end, 100% in sun. Includes berries that were used for Fling, Natural Gift, or eaten.	Leaf Guard + Harvest.	StatusEffectImmunityAbAttr,PostTurnRestoreBerryAbAttr
802	5503	Rite Of Spring	Boosts the user's Speed and highest attacking stat by 50% when sun is active.	Chlorophyll + Solar Power.	StatMultiplierAbAttr,PostWeatherLapseDamageAbAttr,StatMultiplierAbAttr
803	5504	Headstrong	Raises the Pokemon's Special Defense stat by one stage when switching into battle.	+1 Spdef on entry.	EntryEffectAbAttr
804	5505	Firefighter	Deals 1.5x damage to Fire-type Pokemon and takes 0.5x damage when attacked by Fire-type Pokemon. Based on attacker/defender Pokemon types, not move types. The damage reduction is multiplicative with other sources.	Deals 1.5x damage to Fire. Takes 0.5x damage from Fire.	OffensiveTypeMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr
805	5506	Sepia Lens	Combines Tinted Lens and Sand Guard. Doubles damage when attacking with not very effective moves. During sandstorm, blocks priority moves from opponents and halves damage from special attacks. Also grants immunity to sandstorm damage like other Ground-types.	Tinted Lens + Sand Guard.	MoveDamageBoostAbAttr,DamageReductionAbAttr
806	5507	Super Sniper	Boosts critical hit damage from 1.5x to 2.25x by applying an additional 50% multiplier. Attacks strike foes before they finish switching out for 50% power, damaging them before leaving.	Sniper + Attacks hit switching foes with 1/2 Power.	MultCritAbAttr,AiMovegenMoveStatsAbAttr
807	5508	Woodland Curse	Upon entering battle, uses Forest's Curse on a random opponent, adding Grass typing. When opponents make contact with the user, they also gain Grass as an extra type. Only affects non-Grass types. Persists until switching out.	Uses Forest's Curse on Entry. Adds Grass type on contact.	EntryEffectAbAttr,AddTypeToAttackerOnContactAbAttr
808	5509	Malodor	When hit by a contact move, the user suppresses the attacker's ability and innates until they switch out.	Suppresses attacker's abilities on contact.	SuppressAttackerAbilityAbAttr
809	5510	Blur	When hit by contact moves, the Pokemon uses its Speed stat instead of Defense or Special Defense for damage calculations. Choice Scarf does not affect this ability.	Uses Speed as defense stat when hit by contact.	SpeedBonusToStatAbAttr
810	5511	Elude	When hit by non-contact moves, the Pokemon uses its Speed stat instead of Defense or Special Defense for damage calculations. Choice Scarf does not affect this ability.	Uses Speed as defense stat when hit by non-contact.	SpeedBonusToStatAbAttr
811	5512	Drake Of Rage	Doubles damage when attacking into resistances. If a move would be resisted (0.5x damage or less), the damage is multiplied by 2x. Eliminates recharge turns when the user successfully KOs an opponent with a direct attack.	Tinted Lens + Rampage	MoveDamageBoostAbAttr,PostVictoryClearTagAbAttr
812	5513	Reverberate	Converts all Normal-type moves into Sound moves, enabling them to benefit from sound-based abilities and interactions.	Normal moves are Sound moves.	MovePowerBoostAbAttr
813	5514	Mixed Martial Arts	Converts all Normal-type moves into Iron Fist and Striker moves, enabling them to benefit from related abilities and interactions.	Normal moves are flagged as Punch + Kick moves.	AddMoveFlagAbAttr
814	5515	Strategic Pause	When the user moves after the target, boosts critical hit ratio by 2 stages and attack power by 30%.	+2 crit rate when moving last + Analytic.	CritStageBonusAbAttr
815	5516	Overrule	When this Pokemon's moves land critical hits, they ignore defensive abilities that would normally reduce damage and their attacks deal double damage if they are resisted. For multi-hit attacks abilities are either ignored for all hits if the first is a crit or no hits otherwise.	Crits bypass abilities and do 2x damage vs resists.	CritDamageMultiplierAbAttr
816	5517	Mental Pollution	Applies ability suppression to other Pokemon when the user becomes enraged. Suppression lasts while those Pokemon remain on the field. Pokemon with Mental Pollution are unaffected.	Suppresses others' abilities when it becomes enraged.	SuppressAttackerAbilityAbAttr
817	5518	Madness Enhancement	Becomes enraged when entering fog. All incoming damage is reduced by 50% when the user is enraged and it takes no damage from enrage.	Enrages in fog, halves damage when enraged.	ReceivedMoveDamageMultiplierAbAttr
818	5519	Tentalock	Trapping moves last 6 turns instead of 4-5 turns and increases their damage at the end of the turn to 1/6 max HP per turn. Gives attacks a 50% chance to trap the target for 6 turns, preventing escape or switching. Once trapped, their speed drops by one stage each turn they remain on the field.	Grappler + Serpent Bind.	TrapDurationModifierAbAttr,ChanceBattlerTagOnHitAbAttr
819	5520	Serpent Bind	Gives attacks a 50% chance to trap the target for 4-5 turns, preventing escape or switching. Once trapped, their speed drops by one stage each turn they remain on the field.	50% chance to trap, then drop the their speed by -1 each turn.	ChanceBattlerTagOnHitAbAttr
820	5521	Soul Tap	While fog is active, drains 1/10 of each active opponent's max HP at the end of every turn and restores that amount to the user. Ignores Substitute.	Drain 10% HP from foes at the end of each turn in fog.	PostTurnDrainAbAttr
821	5522	Scarecrow	Upon entering battle, the user drops the Special Attack stat of all opposing Pokemon by one stage. Foes can not land critical hits, always roll minimum damage (85% instead of 85-100%), fail to inflict secondary effects that are not guaranteed, and have a 5% chance to miss a move.	Scare + Bad Luck.	PostSummonStatStageChangeAbAttr,CritImmunityAbAttr
822	5523	Ominous Shroud	Upon entering battle, adds Ghost to user's current typing. Retains Ghost typing even upon losing the ability, going away only when switching out. Halves damage from all attacks when at full HP. Multiplicative with other damage reduction sources.	Phantom + Shadow Shield.	EntryEffectAbAttr,ReceivedMoveDamageMultiplierAbAttr
823	5524	Chilling Presence	Uses a 10 BP Icy Wind (Ice, Special, Air-based) on entry, hitting all opponents and lowering their Speed by 1 stage.	10BP Icy Wind on entry.	PostSummonScriptedMoveAbAttr
824	5525	Frostbind	When inflicting frostbite, the user also inflicts disable. Disable prevents the target from using their last-used move for 4 turns. Fails if the target has not moved yet.	Inflicting Frostbite also inflicts Disable.	ChanceBattlerTagOnAttackAbAttr
825	5526	Glacial Ghost	Boosts the Pokemon's Speed by 50% and reduces opponent accuracy by 25% during hail. Immune to hail damage.	Slush Rush + Snow Cloak.	StatMultiplierAbAttr,StatMultiplierAbAttr,BlockWeatherDamageAttr
826	5527	Tender Affection	When hit by contact moves, has a 50% chance to infatuate the attacker (cuts their Attack and Special Attack in half). Also gives STAB to Fairy-type moves.	Cute Charm + Fairy STAB	PostDefendContactApplyTagChanceAbAttr,StabAddAbAttr
827	5528	Wonder Scale	At the end of each turn, there's a 30% chance for the user to cure status conditions afflicted on them. Immune to all damage boosting ability effects from opponents, other than Parental Bond and Multi-Headed.	Shed Skin + Wonder Skin	PostTurnResetStatusAbAttr,WonderSkinAbAttr
828	5529	Overzealous (N)	Will not be implemented.	User's super-effective moves have +1 prio.	SePriorityBonusAbAttr
829	5530	Stainless Steel	The user ignores most abilities that increase damage or hit additional times. Changes the user's Normal-type moves to Steel-type. If the user is Steel- type it resists Ghost and Steel, otherwise it gains Steel STAB.	Fort Knox + Steelworker.	PostDefendSuppressOpponentDamageBoostAbAttr,MoveTypePowerBoostAbAttr
830	5531	Temporal Rupture	Roar of Time becomes a 100 BP +0 Priority attack that changes the target's Ability to Slow Start (halves attacking stats and speed for 5 turns) but no longer forces the target to switch.	Roar of Time is altered drastically.	SetTargetAbilityOnMoveAbAttr
831	5532	Grass Flute	Sound moves inflict Fear on hit. Fear traps the target for 2 turns and they take 50% more damage. If forced out by moves like Whirlwind, the target loses Fear.	Sound moves inflict Fear.	ChanceBattlerTagOnAttackAbAttr
832	5533	Hemotoxin	Negates the opponent's ability and innates when the user successfully poisons them. Suppression wears off after they switch out.	Supresses abilities of the target when they're poisoned.	PostAttackContactSuppressTargetAbilityAbAttr
833	5534	Harukaze	Sets Grassy Terrain when setting Tailwind, and sets Tailwind when setting Grassy Terrain. Does not refresh the duration in either case if one is already active.	Setting Grassy Terrain sets Tailwind and vice versa.	PostSummonStackSetEffectsAbAttr
834	5535	Toxic Surge	Sets Toxic Terrain on switch-in for 8 turns (12 with Terrain Extender). While active, grounded Pokemon that aren't Poison or Steel-type take 1/16 max HP damage each turn, Poison- type moves deal 30% more damage, and Spikes are converted to Toxic Spikes.	sets Toxic Terrain on entry.	EntryEffectAbAttr
835	5536	Atlantic Ruler	Upon entering battle, adds Water to the user's current typing. Retains Water typing even upon losing the ability, going away only when switching out. Also boosts the power of Water-type moves by 50%. Boosts Speed by 50% during rain.	Aquatic Dweller + Swift Swim.	TypeDamageBoostAbAttr,StatMultiplierAbAttr
836	5537	Biofilm	Boosts the user's Special Defense stat by 50% when in Toxic Terrain.	50% spdef boost under Toxic Terrain.	StatMultiplierAbAttr
837	5538	Chokehold	When the user traps a target, they inflict paralysis and drop their speed by one stage once every turn while trapped.	Binding moves lower speed and paralyze.	StatTriggerOnHitAbAttr
838	5539	Guardian Coat	Provides immunity to weather damage from Sandstorm and Hail, and blocks all powder moves including Sleep Powder, Stun Spore, Poison Powder, Spore, Cotton Spore, Rage Powder, Powder, and Magic Powder. Also reduces incoming physical  damage by 20%. Multiplicative with other damage reduction sources.	Blocks weather dmg and powders. Takes -20% physical damage.	DamageReductionAbAttr
839	5540	Neutralizing Fog	Uses Defog on switch in, clearing all entry hazards, screens, Safeguard, and Mist. Also lowers the opponent's evasion by one stage.	Uses Defog on entry.	PostSummonScriptedMoveAbAttr
840	5541	Poison Quills	Damages attackers using contact moves for 1/8 of their max HP. Also has a 30% chance to inflict poison on contact moves, both when attacking and being attacked. Activates on every hit for multihitting moves.	Rough Skin + Poison Point.	PostDefendContactDamageAbAttr,PostDefendContactApplyStatusEffectAbAttr
841	5542	Draconic Might	Converts all Normal-type moves into Dragon-type moves and grants STAB for Dragon-type moves. If the user is Dragon- type their Dragon moves deal neutral damage vs Fairy. On entry, adds Dragon to the user's current typing. Retains Dragon typing even upon losing the ability, going away only when switching out.	Draconize + Half Drake.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr,EntryEffectAbAttr
842	5543	Festivities	Sound moves are also treated as dance moves, benefiting from Dancer-type abilities. Dancer moves are also treated as sound moves, benefiting from sound- based abilities.	Sound moves become dance moves and vice versa.	MoveFlagInjectionAbAttr,PostDancingMoveAbAttr
843	5544	Fey Flight	Upon entering battle, adds Fairy to the user's current typing. Retains Fairy typing even upon losing the ability, going away only when switching out. The user is immune to Ground-type moves and other ground effects such as Spikes and terrains. Boosts the damage of Flying-type moves by 25%.	Adds Fairy-type and levitates.	EntryEffectAbAttr,AttackTypeImmunityAbAttr
844	5545	Best Offense	Keen Edge moves become Special (deal Special damage and use the Special Attack stat) and use 20% of the user's Special Defense stat for attack calculations.	Mystic blades + use 20% of spdef during moves.	FlagDamageBoostAbAttr,StatBlendAbAttr
845	5546	Impaler	Boosts the power of horn and drill-based attacks by 30% and they have a 30% chance to inflict Bleed on the target. Bleeding causes 1/16 max HP damage per turn, prevents healing, and negates the effects of stat stages. Rock and Ghost types are immune to bleeding.	Mighty Horn + 30% Bleed chance on horn moves.	FlagDamageBoostAbAttr,ChanceBattlerTagOnAttackAbAttr
846	5547	Magus Blades	Keen Edge moves become Special (deal Special damage and use the Special Attack stat) and use 20% of the user's Special Defense stat for attack calculations. Also, Keen Edge moves hit twice, dealing 70% of the move's normal damage. Secondary effects roll independently for each hit (except flinch).	Dual Wield + Best Offense.	HitMultiplierAbAttr,FlagDamageBoostAbAttr,StatBlendAbAttr
847	5548	Lightning Born	Upon entering battle, adds Electric to the user's current typing. Retains Electric typing even upon losing the ability, going away only when switching out.	Adds Electric-type on entry.	EntryEffectAbAttr
848	5549	Superheavy	Getting flinched raises Speed by one stage. Prevents forced switching from moves and Red Card.	Steadfast + blocks phasing moves.	FlinchStatStageChangeAbAttr,ForceSwitchOutImmunityAbAttr
849	5550	World Serpent	Physical non-contact moves deal 20% more damage. Contact moves have a 50% chance to trap the target for 4-5 turns.	Long Reach + Grip Pincer.	IgnoreContactAbAttr,ChanceBattlerTagOnHitAbAttr
850	5551	Lucky Wings	Doubles the activation chance of the user's secondary effects on their attacks. Boosts the power of all wing, wind, and air-based moves by 30%.	Serene Grace + Giant Wings.	MoveEffectChanceMultiplierAbAttr,FlagDamageBoostAbAttr
851	5552	Komodo	Upon entering battle, adds Dragon to the user's current typing. Retains Dragon typing even upon losing the ability, going away only when switching out. The user has a 30% to badly poison the target after landing any move. Multihits roll the activation chance on each hit.	Adds Dragon-type + moves have 30% Bad Poison chance.	EntryEffectAbAttr,PostAttackApplyStatusEffectAbAttr
852	5553	Envenom	The user has a 30% to poison the target after landing any move. Multihits roll the activation chance on each hit.	Moves have a 30% chance to poison the target.	ChanceStatusOnAttackAbAttr
853	5554	Purple Haze	After using a move, follow up with a 20 BP Poison Gas (Poison, Special, 20% chance to poison, super effective on Flying- types).	Triggers a 20BP Poison Gas after using a move.	PostAttackScriptedMoveAbAttr
854	5555	Gnashing Cannon	Boosts pulse, beam, ball, and aura moves by 30%. Biting moves use the Special Attack (still targets enemy's Defense unless stated otherwise) and deal 30% more damage.	Mega Launcher + Mind Crunch.	MovePowerBoostAbAttr,FlagDamageBoostAbAttr
855	5556	Hyper Cleanse	Immune to status. Halves poison damage taken.	Immune to status. Halves poison damage taken.	StatusEffectImmunityAbAttrEr,DamageReductionAbAttr
856	5557	Molten Coat	Mineralize + Rock moves have 50% burn chance.	Mineralize + Rock moves have 50% burn chance.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr,ChanceStatusOnAttackAbAttr
857	5558	Royal Decree	Prevents the user and its ally from being targeted by priority moves with priority higher than 0. Use Glare on entry, paralyzing the target. Once per battle.	Queenly Majesty + Glare on entry once per battle.	FieldPriorityMoveImmunityAbAttr,EntryEffectAbAttr
858	5559	Breezy Neigh	Boosts the Pokemon's Speed by one stage when it causes an opponent to faint with a direct attack.	KOs raise Speed by one stage.	StatTriggerOnKoAbAttr
859	5560	Dreamscape	Considers the user as asleep for moves and statuses. User can act normally and gains immunity to status conditions. Doubles the power of moves when any active Pokemon is asleep. Attacks hit sleeping foes who are switching out for 1x power instead, damaging them before leaving. Boosts damage by 20%.	Comatose + Dreamcatcher + Deal 20% more damage.	StatusEffectImmunityAbAttr,BattlerTagImmunityAbAttr,ConditionalDamageAbAttr,MovePowerBoostAbAttr
860	5561	Haste Makes Waste	Reduces damage by 30% if the user has not moved yet. Multiplicative with other damage reduction sources. Works when the user switches in mid-turn. Boosts damage by 30% if the target has already moved this turn.	Stall + Analytic.	ChangeMovePriorityInBracketAbAttr,MovePowerBoostAbAttr,AiMovegenMoveStatsAbAttr
861	5562	Hungry Maws	Bite and jaw moves are boosted by 30%. Restores 50% max HP when defeating foes with biting moves or 25% with other moves. Only activates when knocking out a target with a direct hit.	Strong Jaw + Jaws of Carnage.	MovePowerBoostAbAttr,LifestealOnKoAbAttr
862	5563	Thermal Slide	Boosts the Pokemon's Speed by 50% during hail or sun. Also grants immunity to hail damage.	Ups speed by 50% in sun or hail.	WeatherStatMultiplierAbAttr
863	5564	Thermomancy	Multiplies the chance of inflicting burn or frostbite by 5x on all moves. Does not interact with Flame Body or Freezing Point.	Pyromancy + Cryomancy.	StatusChanceMultiplierAbAttr,StatusChanceMultiplierAbAttr
864	5565	Chuckster	Once per entry when receiving a contact move, gain 50% damage reduction and force out the attacker. Multiplicative with other sources of damage reduction.	Once per entry, take 1/2 damage and force-switch the target.	PostDamageForceSwitchAbAttr
865	5566	Heat Sink	Draws in Fire-type moves and gain immunity to them. Additionally, Fire-type moves boost the highest attacking stat of the user by one stage.	Redirects Fire moves. Absorbs them, ups highest Atk.	TypeAbsorbStatBoostAbAttr
866	5567	Relic Stone	While the user is on field, every other Pokemon does not receive a STAB bonus from typing or abilities.	Other battlers don't benefit from STAB.	StabSuppressAuraAbAttr
867	5568	Supercell	Summons rain and Electric Terrain upon entry, lasting 8 turns (12 with Damp Rock/Terrain Extender). Boosts Water moves by 50% and cuts Fire damage by 50%. Grounded Pokemon cannot fall asleep and Electric moves gain 30% power boost.	Drizzle + Electro Surge.	PostSummonWeatherChangeAbAttr,PostBiomeChangeWeatherChangeAbAttr,AiMovegenMoveStatsAbAttr,EntryEffectAbAttr
868	5569	Lightning Aspect	Absorbs Electric moves for immunity and boosts higher attacking stat by +1. Compares Attack vs Special Attack to determine boost target. Excellent for setup against Electric attacks while providing defensive immunity and offensive gains	Absorbs electric moves then ups highest stat by +1.	TypeImmunityStatStageChangeAbAttr
869	5572	Fire Aspect	Creates Extremely Harsh Sunlight lasting until user switches. Nullifies all damaging Water moves. Fire moves gain 50% boost. Cannot be overridden except by other primal weather. Activates extra effects on sun related moves. Sets up a 3-turn Tailwind on entry. Doubles the Speed of all allies.	Absorbs fire moves and always burns with fire.	TypeAbsorbHealAbAttr
870	5573	Ice Plumes	Boosts Speed by +2 stages when hit by Rock-type moves or when switching in with Stealth Rock present. Also, absorbs any Rock- type or Stealth Rock damage and heals for 25% of their max HP.	Halves damage taken by Special moves. Does NOT double SpDef.	DamageReductionAbAttr
871	5570	Blistering Sun	The user gains immunity to Fire- type moves and they heal for 25% of their max HP when hit by them. Always burn with moves that can activate them.	Desolate Land + Air Blower.	PostSummonWeatherChangeAbAttr,PostBiomeChangeWeatherChangeAbAttr,PreLeaveFieldClearWeatherAbAttr,AiMovegenMoveStatsAbAttr,PostSummonScriptedMoveAbAttr
872	5574	Molten Core	Boosts the user's Special Attack stat by 50%. Multiplicative with other damage boosts. Sets up Aurora Veil on entry, cutting physical and special damage recieved by half for your allies. Lasts 5 turns, or 8 turns with Light Clay. Immune to Hail damage.	Furnace + Absorbs Rock-moves/Stealth Rocks.	StatTriggerOnHitAbAttr,TypeAbsorbHealAbAttr
873	5571	Aurora's Gale	Halves all incoming Special Attack damage. Multiplicative with other sources of damage reduction.	Majestic Bird + North Wind.	StatMultiplierAbAttr,EntryEffectAbAttr,BlockWeatherDamageAttr
874	5575	Winter Throne	All non-Ice-types lose 1/8 of their max HP at the end of each turn. Restores 1/8 max HP to Ice- types at the end of each turn.	1/8 Damage each turn to non-ice. Heals Ice 1/8 each turn.	PostTurnHurtNonTypedAbAttr,PassiveRecoveryAbAttr
875	5576	Energy Tap	Heals the user for 1/8 of all damage they deal to opponents. Healing occurs immediately after damage is dealt. Minimum healing of 1 HP.	Heals the user for 1/8 of the damage they deal.	LifestealOnHitAbAttr
876	5577	Sludge Spit	follows up with 35BP Venom Bolt after using an attack.	follows up with 35BP Venom Bolt after using an attack.	PostAttackScriptedMoveAbAttr
877	5578	Swamp Thing	Sets the Swamp Pledge effect on entry.	Sets the Swamp Pledge effect on entry.	EntryArenaTagOnFoeSideAbAttr
878	5579	Frosty Prescence	Uses Mist on entry.	Uses Mist on entry.	PostSummonScriptedMoveAbAttr
879	5580	Chilling Pellets	Uses 13BP Icicle Spear when hit by contact.	Uses 13BP Icicle Spear when hit by contact.	CounterAttackOnHitAbAttr
880	5581	Paint Shot	Mega launcher moves change the target's type to the move used.	Mega launcher moves change the target's type to the move used.	PostDefendChangeAttackerTypeAbAttr
881	5582	Stonecutter	Fossilized + Rock moves ignore abilities.	Fossilized + Rock moves ignore abilities.	TypeDamageBoostAbAttr,DamageReductionAbAttr,MoveAbilityBypassAbAttr
882	5583	Edgelord	First Keen Edge move each entry gets +1 priority. Resets on KO.	First Keen Edge move each entry gets +1 priority. Resets on KO.	PriorityModifierAbAttr
883	5584	Warmonger	Boosts the user's rock, steel, and fighting moves by 30%.	Boosts the user's rock, steel, and fighting moves by 30%.	TypeDamageBoostAbAttr,TypeDamageBoostAbAttr,TypeDamageBoostAbAttr
884	5585	Locust Swarm	Changes into Hivemind form until 1/4 HP or less.	Changes into Hivemind form until 1/4 HP or less.	HpThresholdFormChangeAbAttr
885	5586	Revelation	Changes into Revelation form until 1/4 HP or less.	Changes into Revelation form until 1/4 HP or less.	HpThresholdFormChangeAbAttr
886	5587	Curse of Famine	Eats terrain, restores hp, and boosts a defense.	Eats terrain, restores hp, and boosts a defense.	PostSummonClearTerrainAbAttr
887	5588	Crystalline Armor	Reflects stat drops and immune to critical hits.	Reflects stat drops and immune to critical hits.	CritImmunityAbAttr
888	5589	Soul Harvest	Fainted Pokemon increase your offenses and spdef by 5%.	Fainted Pokemon increase your offenses and spdef by 5%.	FaintCountTriggerAbAttr,PerFaintStatMultiplierAbAttr,PerFaintStatMultiplierAbAttr,PerFaintStatMultiplierAbAttr
889	5590	Thick Blubber	Take 1/4 damage from fire and ice in return for having 1/2 speed.	Take 1/4 damage from fire and ice in return for having 1/2 speed.	DamageReductionAbAttr,DamageReductionAbAttr,StatMultiplierAbAttr
890	5591	Craving	Eats one of the following berries at end of turn: Sitrus, Liechi, Ganlon, Salac, Petaya, Apicot, Lansat, Starf, or a random pinch healing berry.	Eat a random berry at the end of the turn.	PostTurnRestoreBerryAbAttr
891	5592	Rat King	Allies with a BST below 400 get their stats boosted by 50%.	Allies with a BST below 400 get their stats boosted by 50%.	PersistentFieldAuraAbAttr
892	5593	Crispy Cream	30% to inflict burn/frostbite when hit by contact.	30% to inflict burn/frostbite when hit by contact.	ChanceStatusOnHitAbAttr,ChanceBattlerTagOnHitAbAttr
893	5594	Deep Fried	Summons a sea of fire on entry.	Summons a sea of fire on entry.	EntryArenaTagOnFoeSideAbAttr
894	5595	Food Lovers	Hospitality + Friend Guard.	Hospitality + Friend Guard.	PostSummonAllyHealAbAttr,AlliedFieldDamageReductionAbAttr
895	5596	Lunar Wrath	After using a Ghost move, follow up with a 50BP Moongeist Beam.	After using a Ghost move, follow up with a 50BP Moongeist Beam.	PostAttackScriptedMoveAbAttr
896	5597	Spyware	Sharply raises a stat based on foe's strong point.	Sharply raises a stat based on foe's strong point.	FoeStrongestStatSelfBoostAbAttr
897	5598	Virus	Electric moves have 30% chance to poison as well.	Electric moves have 30% chance to poison as well.	ChanceStatusOnAttackAbAttr
898	5599	Power Leak	When hit, set up Electric Terrain.	When hit, set up Electric Terrain.	SetTerrainOnHitAbAttr
899	5600	Backup Power	Revives at 25% HP once after fainting in Electric Terrain.	Revives at 25% HP once after fainting in Electric Terrain.	PostFaintReviveAbAttr
900	5601	Sand Fiend	Sand Force + Sand Guard.	Sand Force + Sand Guard.	MoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr,BlockWeatherDamageAttr,DamageReductionAbAttr
901	5602	Moustache	Tangling Hair + Stamina.	Tangling Hair + Stamina.	PostDefendStatStageChangeAbAttr,PostDefendStatStageChangeAbAttr
902	5603	Depth Explorer	Field Explorer + Illuminate.	Field Explorer + Illuminate.	FlagDamageBoostAbAttr,ProtectStatAbAttr,DoubleBattleChanceAbAttr,IgnoreOpponentStatStagesAbAttr
903	5604	Dune Veil	All allies become immune to status conditions and secondary effects from enemy moves while sand is active. Restores 1/16 of the Pokemon's maximum HP at the end of each turn.	Desert Cloak + Self Sufficient.	SandStatusImmunityAbAttr,SandSecondaryEffectImmunityAbAttr,PassiveRecoveryAbAttr
904	5605	Strong Foundation	Takes 1/2 Water and Ground dmg and can't be forced out.	Takes 1/2 Water and Ground dmg and can't be forced out.	DamageReductionAbAttr,DamageReductionAbAttr,ForceSwitchOutImmunityAbAttr
905	5606	Fog Machine	When hit, Set up Eerie Fog.	When hit, Set up Eerie Fog.	SetFogOnHitAbAttr
906	5607	Drop Blocks	When hit, set up spikes.	When hit, set up spikes.	SetArenaTagOnHitAbAttr
907	5613	Turf War	Destroys terrain and boosts highest stat on entry.	Destroys terrain and boosts highest stat on entry.	PostSummonClearTerrainAbAttr,SelfHighestStatBoostOnSummonAbAttr
908	5610	Greedy	Uses Thief when it loses an item.	Uses Thief when it loses an item.	PostItemLostScriptedMoveAbAttr
909	5611	Lightsaber	Adds Fire-type. Keen Edge moves have 25% burn or paralysis.	Adds Fire-type. Keen Edge moves have 25% burn or paralysis.	EntryEffectAbAttr,ChanceStatusOnAttackAbAttr
910	5608	Loose Thorns	Sets Creeping Thorns when hit by contact.	Sets Creeping Thorns when hit by contact.	SetArenaTagOnHitAbAttr
911	5609	Musical Notes	Status moves become sound- based.	Status moves become sound-based.	MoveFlagInjectionAbAttr
912	5612	Laser Drill	Horn moves have a 50% burn chance.	Horn moves have a 50% burn chance.	ChanceStatusOnAttackAbAttr
913	5614	Strikeout	Forces the foe out if they don't attack for 3 turns.	Forces the foe out if they don't attack for 3 turns.	ForceFoeOutOnInactivityAbAttr
914	5615	Home Run	Landing a crit boosts your 3 lowest stats once per turn.	Landing a crit boosts your 3 lowest stats once per turn.	OnCritStatBoostLowestAbAttr
915	5616	Bruiser	Adds Fighting type on entry.	Adds Fighting type on entry.	EntryEffectAbAttr
916	5617	Narcissist	When a stat is lowered, sharply raise both offenses.	When a stat is lowered, sharply raise both offenses.	PostStatStageChangeStatStageChangeAbAttr
917	5618	Let's Dance	Uses Teeter Dance on entry, Confusing the field.	Uses Teeter Dance on entry, Confusing the field.	PostSummonScriptedMoveAbAttr
918	5619	Dragonfruit	Half Drake + Rough Skin.	Half Drake + Rough Skin.	EntryEffectAbAttr,PostDefendContactDamageAbAttr
919	5621	Rocky Exterior	Adds Rock type on entry.	Adds Rock type on entry.	EntryEffectAbAttr
920	5620	Lead Claws	Tough Claws + Mineralize.	Tough Claws + Mineralize.	MovePowerBoostAbAttr,TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
921	5622	Flawless Precision	Fatal + Deadly Precision.	Fatal + Deadly Precision.	AlwaysHitAbAttr,MoveAbilityBypassAbAttr
922	5625	Chainsaw	Keen edge attacks lower defense by -1.	Keen edge attacks lower defense by -1.	StatDebuffOnFlagAttackAbAttr
923	5626	Galeforce Wings	Flying moves get +1 Priority.	Flying moves get +1 Priority.	PriorityModifierAbAttr
924	5628	Empress	Queenly Majesty + Rivalry.	Queenly Majesty + Rivalry.	FieldPriorityMoveImmunityAbAttr,MovePowerBoostAbAttr,MovePowerBoostAbAttr
925	5627	Mashed Potato	Syrup Bomb effect on the foe for 3 turns.	Syrup Bomb effect on the foe for 3 turns.	PostSummonApplyTagOnFoesAbAttr
926	5629	Rainbow Scales	Fire Scales + Taste the Rainbow.	Fire Scales + Taste the Rainbow.	DamageReductionAbAttr,PostSummonScriptedMoveAbAttr
927	5631	Taste the Rainbow	Summons the Rainbow Pledge effect on entry.	Summons the Rainbow Pledge effect on entry.	PostSummonScriptedMoveAbAttr
928	5630	Hypnotic Touch	20% chance to sleep on contact. Also works on offense.	20% chance to sleep on contact. Also works on offense.	ChanceStatusOnHitAbAttr,ChanceStatusOnAttackAbAttr
929	5632	Hydra	Boosts the user's Special Attack by one stage whenever it knocks out an opponent with a direct hit. Attack 2-3 times per move based on number of heads. 1.25x total for 2 heads, 1.35x total for 3 heads.	Multi-Headed + Hubris.	AddSecondStrikeAbAttr,AddSecondStrikeAbAttr,StatTriggerOnKoAbAttr
930	5633	Wings of Pestilence	Every attack has a 20% Bleed chance and 10% Curse chance.	Every attack has a 20% Bleed chance and 10% Curse chance.	PostAttackApplyBattlerTagAbAttr,PostAttackApplyBattlerTagAbAttr
931	5634	Sundae	Snow Warning + Ice Body.	Snow Warning + Ice Body.	PostSummonWeatherChangeAbAttr,PostBiomeChangeWeatherChangeAbAttr,AiMovegenMoveStatsAbAttr,BlockWeatherDamageAttr,PostWeatherLapseHealAbAttr
